i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         deuteron       deuteron       alpha          alpha          Li7            Li7            Be7            Be7            Be8            Be8            O16            O16            
183	0	0	3.58527e-08    3.5373e-08     137            3.803e-10      1              0              0              0              0              0              0              0              0              0              0              0              0              
184	0	0	3.69399e-08    3.65407e-08    137            3.99218e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
185	0	0	3.73573e-08    3.68252e-08    137            4.19161e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
186	0	0	3.7924e-08     3.72232e-08    137            4.51494e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
187	0	0	3.83912e-08    3.78236e-08    137            5.15588e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
188	0	0	3.90369e-08    3.83391e-08    137            5.39374e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
189	0	0	4.04377e-08    3.97697e-08    137            4.93963e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
190	0	0	4.18931e-08    4.11629e-08    137            5.37439e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
191	0	0	4.22772e-08    4.15441e-08    137            5.35467e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
192	0	0	4.51684e-08    4.43321e-08    136            6.22707e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
193	0	0	4.27921e-08    4.21006e-08    135            6.52103e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
194	0	0	4.22162e-08    4.1412e-08     133            6.30386e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
195	0	0	4.42642e-08    4.31445e-08    133            7.13454e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
196	0	0	4.47715e-08    4.38624e-08    133            7.82398e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
197	0	0	4.6334e-08     4.53272e-08    132            8.45711e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
198	0	0	4.95905e-08    4.83077e-08    132            1.12012e-09    1              0              0              0              0              0              0              0              0              0              0              0              0              
199	0	0	5.37012e-08    5.19963e-08    132            1.55632e-09    1              0              0              0              0              0              0              0              0              0              0              0              0              
200	0	0	4.96972e-08    4.80754e-08    129            1.36693e-09    1              0              0              0              0              0              0              0              0              0              0              0              0              
201	0	0	4.75789e-08    4.75105e-08    127            0              0              0              0              0              0              0              0              0              0              0              0              0              0              
202	0	0	4.78401e-08    4.77372e-08    126            0              0              0              0              0              0              0              0              0              0              0              0              0              0              
203	0	0	5.04753e-08    5.03703e-08    126            0              0              0              0              0              0              0              0              0              0              0              0              0              0              
204	0	0	5.48923e-08    5.48091e-08    126            0              0              0              0              0              0              0              0              0              0              0              0              0              0              
205	0	0	5.81913e-08    5.81806e-08    126            0              0              0              0              0              0              0              0              0              0              0              0              0              0              
206	0	0	5.475e-08      5.45162e-08    121            0              0              0              0              0              0              0              0              0              0              0              0              8.81588e-11    1              
207	0	0	5.35647e-08    5.34167e-08    119            0              0              0              0              0              0              0              0              0              0              0              0              0              0              
208	0	0	5.97512e-08    5.96335e-08    118            0              0              0              0              0              0              0              0              0              0              0              0              0              0              
209	0	0	6.20278e-08    6.20278e-08    116            0              0              0              0              0              0              0              0              0              0              0              0              0              0              
210	0	0	6.33474e-08    6.32199e-08    112            0              0              0              0              0              0              0              0              0              0              0              0              0              0              
211	0	0	6.52403e-08    6.52403e-08    110            0              0              0              0              0              0              0              0              0              0              0              0              0              0              
212	0	0	5.948e-08      5.93324e-08    102            0              0              0              0              0              0              0              0              0              0              0              0              0              0              
213	0	0	5.91281e-08    5.91187e-08    98             0              0              0              0              0              0              0              0              0              0              0              0              0              0              
214	0	0	5.45974e-08    5.44679e-08    92             0              0              0              0              0              0              0              0              0              0              0              0              0              0              
215	0	0	4.44049e-08    4.43416e-08    83             0              0              0              0              0              0              0              0              0              0              0              0              0              0              
216	0	0	4.94666e-08    4.93944e-08    80             0              0              0              0              0              0              0              0              0              0              0              0              0              0              
217	0	0	3.91234e-08    3.89279e-08    74             0              0              0              0              0              0              0              0              0              0              0              0              0              0              
218	0	0	4.10611e-08    4.08104e-08    69             0              0              0              0              0              0              0              0              0              0              0              0              0              0              
219	0	0	4.17382e-08    4.15961e-08    64             0              0              0              0              0              0              0              0              0              0              0              0              0              0              
220	0	0	2.89823e-08    2.89288e-08    56             0              0              0              0              0              0              0              0              0              0              0              0              0              0              
221	0	0	2.64393e-08    2.64393e-08    52             0              0              0              0              0              0              0              0              0              0              0              0              0              0              
222	0	0	2.19287e-08    2.19287e-08    47             0              0              0              0              0              0              0              0              0              0              0              0              0              0              
223	0	0	1.47731e-08    1.46838e-08    42             0              0              0              0              0              0              0              0              0              0              0              0              0              0              
224	0	0	8.43946e-09    8.2941e-09     37             1.45213e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
225	0	0	7.60371e-09    7.25137e-09    36             2.10528e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
226	0	0	8.79651e-09    8.58991e-09    36             2.06602e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
227	0	0	1.01944e-08    9.99914e-09    36             1.95243e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
228	0	0	7.3497e-09     7.16366e-09    34             1.86038e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
229	0	0	5.69774e-09    5.3945e-09     33             1.84421e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
230	0	0	5.9077e-09     5.48033e-09    33             1.80816e-10    1              0              0              0              0              0              0              0              0              0              0              2.46558e-10    1              
