i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         deuteron       deuteron       He3            He3            alpha          alpha          Li6            Li6            Be8            Be8            C12            C12            C13            C13            N15            N15            O15            O15            O16            O16            
92	0	0	8.17936e-09    7.3349e-09     191            2.22442e-10    1              5.84636e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
93	0	0	8.31844e-09    7.34563e-09    191            2.53654e-10    1              6.20914e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
94	0	0	8.65904e-09    7.54702e-09    191            2.82196e-10    1              7.98231e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
95	0	0	9.31385e-09    7.56867e-09    191            3.96423e-10    1              1.28523e-09    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
96	0	0	8.87249e-09    7.59792e-09    191            4.43984e-10    1              7.70401e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
97	0	0	8.24919e-09    7.90157e-09    191            0              0              3.19601e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
98	0	0	7.65454e-09    7.61273e-09    191            0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
99	0	0	8.12636e-09    8.11336e-09    191            0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
100	0	0	8.71838e-09    8.65048e-09    191            0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
101	0	0	7.73215e-09    7.68428e-09    190            0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
102	0	0	7.58132e-09    7.50548e-09    189            0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
103	0	0	7.6971e-09     7.67577e-09    189            0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
104	0	0	7.46041e-09    7.36202e-09    188            0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              7.97862e-11    1              
105	0	0	7.39112e-09    7.35456e-09    188            0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
106	0	0	7.53653e-09    7.5077e-09     188            0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
107	0	0	7.6005e-09     7.47818e-09    188            0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
108	0	0	7.46432e-09    7.45061e-09    188            0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
109	0	0	7.54031e-09    7.47358e-09    188            0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
110	0	0	7.62337e-09    7.56979e-09    188            0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
111	0	0	7.68207e-09    7.62445e-09    188            0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
112	0	0	7.58306e-09    7.51959e-09    188            0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
113	0	0	7.77971e-09    7.70218e-09    188            0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
114	0	0	7.9094e-09     7.82597e-09    188            0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
115	0	0	7.70712e-09    7.69885e-09    188            0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
116	0	0	7.82217e-09    7.75153e-09    188            0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
