i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         O16            O16            
294	0	0	5.69455e-09    5.69455e-09    27             0              0              0              0              
295	0	0	5.46155e-09    5.46155e-09    27             0              0              0              0              
296	0	0	5.5072e-09     5.5072e-09     27             0              0              0              0              
297	0	0	5.32735e-09    5.32735e-09    27             0              0              0              0              
298	0	0	5.57967e-09    5.57967e-09    27             0              0              0              0              
299	0	0	5.72781e-09    5.72781e-09    27             0              0              0              0              
300	0	0	5.66311e-09    5.66311e-09    27             0              0              0              0              
301	0	0	5.85567e-09    5.85567e-09    27             0              0              0              0              
302	0	0	5.79163e-09    5.79163e-09    27             0              0              0              0              
303	0	0	5.51632e-09    5.51632e-09    27             0              0              0              0              
304	0	0	5.99129e-09    5.99129e-09    27             0              0              0              0              
305	0	0	6.0995e-09     6.0995e-09     27             0              0              0              0              
306	0	0	5.66322e-09    5.66322e-09    27             0              0              0              0              
307	0	0	5.77688e-09    5.77688e-09    27             0              0              0              0              
308	0	0	5.89918e-09    5.89918e-09    27             0              0              0              0              
309	0	0	6.12174e-09    6.12174e-09    27             0              0              0              0              
310	0	0	6.28262e-09    6.28262e-09    27             0              0              0              0              
311	0	0	6.2561e-09     6.2561e-09     27             0              0              0              0              
312	0	0	6.21308e-09    6.21308e-09    27             0              0              0              0              
313	0	0	6.49222e-09    6.49222e-09    27             0              0              0              0              
314	0	0	6.45062e-09    6.45062e-09    27             0              0              0              0              
315	0	0	6.4941e-09     6.4941e-09     27             0              0              0              0              
316	0	0	6.34104e-09    6.34104e-09    27             0              0              0              0              
317	0	0	6.6635e-09     6.6635e-09     27             0              0              0              0              
318	0	0	6.72171e-09    6.72171e-09    27             0              0              0              0              
319	0	0	6.55326e-09    6.55326e-09    27             0              0              0              0              
320	0	0	6.49374e-09    6.49374e-09    27             0              0              0              0              
321	0	0	6.68904e-09    6.68904e-09    27             0              0              0              0              
322	0	0	6.84103e-09    6.84103e-09    27             0              0              0              0              
323	0	0	6.87476e-09    6.87476e-09    27             0              0              0              0              
324	0	0	7.11334e-09    7.11334e-09    27             0              0              0              0              
325	0	0	7.22564e-09    7.22564e-09    27             0              0              0              0              
326	0	0	7.32882e-09    7.32882e-09    27             0              0              0              0              
327	0	0	7.2556e-09     7.2556e-09     27             0              0              0              0              
328	0	0	8.0301e-09     8.0301e-09     27             0              0              0              0              
329	0	0	8.14848e-09    8.14848e-09    27             0              0              0              0              
330	0	0	8.98574e-09    8.98574e-09    27             0              0              0              0              
331	0	0	7.89506e-09    7.89506e-09    27             0              0              0              0              
332	0	0	7.19632e-09    7.19632e-09    26             0              0              0              0              
333	0	0	7.06858e-09    7.06858e-09    26             0              0              0              0              
334	0	0	7.49757e-09    7.49757e-09    26             0              0              0              0              
